project_key,bucket_key,bucket_name,bucket_seq,project_name,type,status,flag,headline,predecessors,successors,budget,budget_established,authorization,fee_basis,apas_role,budget_note,parties,regulatory_driver,scope,deliverables
STM-01,STM,Stormwater Management,01,Stormwater Management Plan,Planning · Engineering,First deliverable,FIRST DELIVERABLE,"Write the plan first. It defines the design basis, the level of service, and every project that follows.",,STM-02,TBD,no,Proposal to be issued,Lump sum — fixed fee proposal,APAS self-performed,Fixed-fee professional services. Issue A and Issue B proposed separately so the owner authorises the framework without committing to the final document before the scope of investigation is known.,APAS · Engineer of Record,NPDES MS4 · Miami-Dade Chapter 24 · SFWMD Environmental Resource Permit · Consent Order close-out,"Issue A — Framework and roadmap. Establish the design basis, the regulatory framework, and the adopted level of service the property will be held to for each design storm. | Define the stormwater system as currently understood, and state explicitly and in writing what is not known. | Define the investigation program required to close each gap, and set the sequence and dependencies between the projects that follow. | Establish the asset identification convention so every structure and pipe carries a permanent identifier from the first day of field work. | Define the performance criteria against which the finished system will be judged. | Issue B — Final governing plan. Incorporate the investigation, survey, geotechnical, modelling and design results as they arrive. | Consolidate the complete record set: drawings, calculations, permits, test data and certifications, into one governing document. | Document the implementation sequence actually executed and the as-built configuration of the system. | Publish and maintain the plan in ProjOS as the live reference for the stormwater system.","Stormwater Management Plan — Issue A: framework, design basis, level of service, investigation roadmap | Project sequence and dependency map | Asset identification convention | Performance criteria | Stormwater Management Plan — Issue B: final governing document with the complete record set | Live plan published in ProjOS"
STM-02,STM,Stormwater Management,01,Stormwater Records & File Review,Investigation,Not started,,Determine what documentation of the stormwater system actually exists before spending a dollar in the field.,STM-01,STM-03,TBD,no,Proposal to be issued,Lump sum — fixed fee proposal,APAS self-performed,Fixed-fee professional services. Agency records request and reproduction fees passed through at cost.,APAS,NPDES MS4 · Miami-Dade Chapter 24 · SFWMD Environmental Resource Permit history,"Search and retrieve records from the City of Opa-Locka, Miami-Dade DERM, Miami-Dade RER, the Water Control District, SFWMD and the building department. | Pursue original developer, architect and engineer files, plats, easements, drainage permits and prior modification permits. | Review historical aerials and Sanborn maps to identify the original drainage configuration and any later alterations. | Specifically pursue any record of the second retention area — its location, permitted volume and whether it was ever built. | Produce a records inventory and, more importantly, a gap register: what we have, what we do not have, and what each gap costs to close in the field.",Records inventory with source and reliability rating on every document | Gap register mapped to the field projects required to close each gap | Recommendation memo: documentation-led path or field-led path | Findings written into the Stormwater Management Plan
STM-03,STM,Stormwater Management,01,CCTV Inspection of the Underground Stormwater System,Investigation,Not started,,"Send a camera through every pipe, catch basin to catch basin, and find out what is actually down there.",STM-02,STM-04,TBD,no,Proposal to be issued,Subcontracted at cost plus 10% overhead and 10% profit; APAS administers,APAS-managed · specialty subcontract,Specialty subcontract procured and administered by APAS. Heavily obstructed or collapsed reaches requiring point excavation to access are handled as a separate authorised item.,APAS · CCTV specialty contractor,NPDES MS4 illicit discharge detection · Miami-Dade Chapter 24 · Consent Order corrective actions,"Locate, open and inventory every drainage structure on the property; apply the permanent numbering convention set in the Stormwater Management Plan. | Clean and jet lines as required to obtain a usable inspection. | CCTV every reach, catch basin to catch basin, with continuous video and distance-referenced logging. | Record for every reach: pipe diameter, material, joint type, slope indication, and whether the pipe is perforated or solid. | Grade structural and operational condition to NASSCO PACP standard — cracking, deformation, offset joints, root intrusion, sediment depth, and full or partial collapse. | Flag illicit connections and any discharge that does not belong in a stormwater line. | Deliver a condition-ranked defect register that drives the repair and rehabilitation priority list. | Hand the pipe network geometry directly to the survey team so the survey is verifying a known network rather than discovering one.","Complete structure and pipe inventory with permanent IDs | Full CCTV video library, indexed and reach-referenced | NASSCO PACP condition report with defect coding | Condition-ranked defect and rehabilitation priority register | Network geometry file issued to survey"
STM-04,STM,Stormwater Management,01,Topographic & Underground Utility Survey,Survey,Not started,,"Produce a signed and sealed survey of the site surface and the drainage network, informed by what the camera found.",STM-03,STM-05|STM-06|STM-10,TBD,no,Proposal to be issued,Subcontracted at cost plus 10% overhead and 10% profit; APAS administers,APAS-managed · specialty subcontract,"Licensed survey subcontract procured and administered by APAS, including control establishment and NAVD 88 tie.",APAS · Professional Surveyor & Mapper,Miami-Dade Chapter 24 · SFWMD ERP submittal requirements · FEMA floodplain reference,"Topographic survey of the full site: finished floor elevations of every building, roadway and parking crowns and gutters, swales, curbs and site boundaries. | Locate and elevate every drainage structure identified in the CCTV inventory — rim and invert on every pipe entering and leaving. | Tie the survey to NAVD 88 and to the Miami-Dade County control network. | Reconcile the surveyed network against the CCTV inventory and resolve every discrepancy before sealing. | Deliver signed and sealed drawings plus editable CAD, and a survey-grade base map that becomes the single geometric basis for all subsequent stormwater design.",Signed and sealed topographic and utility survey | Editable CAD (DWG/DXF) base map | Rim and invert schedule for every structure | Reconciliation memo against the CCTV inventory
STM-05,STM,Stormwater Management,01,Geotechnical Investigation & Permeability Testing,Investigation,Not started,,"Measure how fast this soil actually absorbs water, so the hydraulic model is built on site data rather than assumption.",STM-04,STM-10,TBD,no,Proposal to be issued,Subcontracted at cost plus 10% overhead and 10% profit; APAS administers,APAS-managed · specialty subcontract,Geotechnical subcontract procured and administered by APAS. Number of test locations set in the proposal; additional locations priced per unit.,APAS · Geotechnical engineer,Miami-Dade Chapter 24 exfiltration trench design criteria · SFWMD ERP,"Select boring and test locations using the survey and CCTV results, targeting proposed exfiltration and retention areas. | Advance soil borings with continuous sampling and classification. | Perform in-situ permeability testing using the Miami-Dade accepted method to establish the hydraulic conductivity value. | Establish the seasonal high water table elevation at each location. | Deliver a geotechnical report with design-ready parameters, signed and sealed.",Signed and sealed geotechnical report | Hydraulic conductivity values by location | Seasonal high water table elevations | Design parameter summary issued to the modelling team
STM-06,STM,Stormwater Management,01,Retention Pond Survey,Survey,Not started,,"Establish the pond's real shape, depth and current storage volume — above and below the waterline.",STM-04,STM-07|STM-08|STM-10,TBD,no,Proposal to be issued,Subcontracted at cost plus 10% overhead and 10% profit; APAS administers,APAS-managed · specialty subcontract,"Survey subcontract procured and administered by APAS, including boat or float-based bathymetric collection.",APAS · Professional Surveyor & Mapper,SFWMD ERP permitted storage volume · Miami-Dade Chapter 24,"Topographic survey of the pond banks, top of bank, side slopes and control structure. | Bathymetric survey of the pond bottom on a defined grid, capturing the sediment surface. | Probe to establish the depth of accumulated sediment and the original design bottom where recoverable. | Survey and document the outfall control structure, including weir elevations and orifice dimensions. | Compute the current stage-storage relationship and compare it against the permitted design storage.",Pond topographic and bathymetric survey | Sediment thickness map | Current versus permitted stage-storage curve | Control structure documentation
STM-07,STM,Stormwater Management,01,Digital Terrain Model & Dredge Volume Determination,Analysis,Not started,,Turn the pond survey into a three-dimensional model and compute exactly how much material has to come out.,STM-06,STM-09,TBD,no,Proposal to be issued,Lump sum — fixed fee proposal,APAS self-performed,Fixed-fee professional services — analysis and drawing production from existing survey data.,APAS,SFWMD ERP storage restoration · construction quantity basis,"Build a digital terrain model of the existing sediment surface and of the target design bottom. | Compute cut volumes between the two surfaces, with contingency banding. | Produce dredge limit drawings and target elevation contours for the contractor. | Establish the measurement and verification method for confirming completion and final quantities. | Model the post-dredge stage-storage curve to confirm the storage volume recovered.",Digital terrain model (existing and design surfaces) | Computed dredge volume with contingency band | Dredge limit and target elevation drawings | Measurement and verification protocol | Post-dredge stage-storage curve
STM-08,STM,Stormwater Management,01,"Dredged Material Characterization, Profiling & Disposal",Environmental · Construction,Not started,,"Sample and profile the sediment before it moves, so it goes to a facility that will legally accept it.",STM-06,STM-09,TBD,no,Proposal to be issued,Lump sum professional services + subcontracted work at cost plus 10% overhead and 10% profit,Hybrid — APAS professional services + subcontract,"APAS professional services on a fixed fee; laboratory, hauling and disposal procured and administered by APAS. Disposal cost is governed by the characterization result — which is precisely why it is determined early and cheaply.",APAS · Environmental consultant · Licensed hauler,Miami-Dade DERM · FDEP solid waste rules · Chapter 62-701 F.A.C.,"Develop a sampling and analysis plan appropriate to the pond and the surrounding land uses. | Collect representative sediment samples across the pond footprint and at depth. | Laboratory analysis for the contaminants of concern indicated by the adjacent land uses, including metals and petroleum constituents. | Prepare the waste profile and obtain written acceptance from the receiving facility before dredging begins. | Determine the disposal pathway and confirm hauling, manifesting and chain of custody requirements. | Manage transport and disposal during dredging, with full manifest documentation retained for the compliance record.",Sampling and analysis plan | Laboratory analytical results | Approved waste profile and written facility acceptance | Disposal pathway determination memo | Complete manifest and chain of custody file
STM-09,STM,Stormwater Management,01,Retention Pond Dredging,Construction,Not started,,Remove the accumulated sediment and restore the pond to its design storage volume.,STM-07|STM-08,,TBD,no,Proposal to be issued,Subcontracted at cost plus 10% overhead and 10% profit; APAS administers,APAS-managed · specialty subcontract,Construction subcontract procured and administered by APAS against the measured quantity from STM-07. Disposal handled under STM-08.,APAS · Dredging contractor,SFWMD ERP · Miami-Dade DERM dewatering and turbidity permits · Consent Order,"Procure and contract the dredging work against the computed volume and dredge limit drawings. | Mobilise, install turbidity and erosion controls, and establish the dewatering and staging area. | Dredge to the design bottom elevation within the defined limits. | Dewater the removed material to a transportable moisture content. | Restore banks and side slopes; stabilise and re-vegetate disturbed areas, including the littoral zone. | Post-dredge verification survey confirming target elevations and the storage volume recovered.",Executed dredging contract against measured quantities | Turbidity monitoring records | Post-dredge verification survey | Storage volume recovery certification | Bank restoration and stabilisation completion
STM-10,STM,Stormwater Management,01,Comprehensive Hydrologic & Hydraulic Model,Analysis,Not started,,"Model the whole property against the 5-year, 25-year and 100-year storms and find out where the water goes.",STM-04|STM-05|STM-06,STM-11|STM-12|STM-13|STM-14,TBD,no,Proposal to be issued,Lump sum — fixed fee proposal,APAS self-performed,"Fixed-fee professional services — model build, calibration, three-storm analysis and scenario testing.",APAS · Engineer of Record,Miami-Dade Chapter 24 · SFWMD ERP · FEMA · NPDES MS4 · Consent Order,"Build the model from the survey base map, the CCTV network geometry, the geotechnical permeability values and the pond stage-storage curve. | Calibrate against observed flooding history on the property where records or resident reports exist. | Run the 5-year, 25-year and 100-year design storms for the applicable durations. | Evaluate two protection criteria explicitly and separately: finished floor elevation protection for every building, and roadway passability for emergency access. | Identify every deficiency — undersized pipes, insufficient storage, inadequate pumping, low points and overland flow paths. | Test improvement scenarios and quantify the flood-risk reduction each one buys. | Determine whether the pond and pipe network alone can meet the required level of service, or whether supplemental features are needed. | Write the results into the Stormwater Management Plan as the governing design basis.",Calibrated hydrologic and hydraulic model | Flood maps and inundation depths for each return period | Finished floor and roadway risk assessment by building and by street | Deficiency register with hydraulic cause identified | Improvement scenario comparison with risk reduction quantified | Determination on the need for supplemental features
